,Unnamed: 0,TrackID,cell_x,cell_y,death_time
612,612,647,221.65,237.25,220
613,613,648,459.55,246.35,280
614,614,650,202.15,241.15,260
615,615,651,71.5,239.2,175
616,616,652,214.5,185.25,160
617,617,653,117.0,560.95,225
618,618,654,143.65,153.4,275
619,619,655,164.45,155.35,250
620,620,656,369.2,159.9,245
621,621,657,208.0,160.55,220
622,622,658,104.65,174.2,255
623,623,659,184.6,167.7,180
624,624,661,121.55,176.15,220
625,625,662,164.45,172.25,185
626,626,663,195.65,170.95,230
627,627,664,146.25,174.85,220
628,628,665,234.65,180.7,175
629,629,666,378.95,185.9,230
630,630,667,363.35,190.45,255
631,631,668,317.85,240.5,205
632,632,669,276.9,191.75,205
633,633,670,393.25,187.85,245
634,634,671,191.1,183.95,220
635,635,672,73.45,190.45,270
636,636,673,126.1,193.05,215
637,637,674,88.4,196.3,195
638,638,675,159.25,197.6,220
639,639,676,387.4,202.8,260
640,640,678,269.1,207.35,200
641,641,680,70.85,206.7,255
642,642,681,240.5,209.3,155
643,643,682,153.4,211.25,220
644,644,683,69.55,288.6,155
645,645,684,338.0,274.3,215
646,646,685,302.9,277.55,255
647,647,686,424.45,280.8,195
648,648,687,148.85,284.05,255
649,649,688,402.35,280.8,235
650,650,689,319.15,284.7,255
651,651,690,117.0,286.0,195
652,652,691,217.1,283.4,265
653,653,692,533.65,287.95,230
654,654,693,50.05,276.25,225
655,655,694,191.75,284.05,250
656,656,695,487.5,287.3,245
657,657,696,455.0,289.25,250
658,658,697,167.7,291.85,275
659,659,698,247.0,294.45,260
660,660,700,380.9,292.5,230
661,661,701,525.2,292.5,235
662,662,702,100.75,298.35,245
663,663,703,279.5,293.15,225
664,664,704,87.75,292.5,170
665,665,705,261.95,297.05,290
666,666,706,413.4,293.15,230
667,667,707,439.4,296.4,205
668,668,708,212.55,297.7,305
669,669,709,512.85,298.35,225
670,670,710,341.25,302.25,205
671,671,711,63.05,298.35,200
672,672,712,306.8,306.8,255
673,673,713,118.95,304.85,270
674,674,714,274.95,256.1,230
675,675,715,289.9,243.75,235
676,676,717,430.95,247.0,235
677,677,718,248.3,246.35,215
678,678,719,130.65,247.0,185
679,679,720,154.05,250.9,195
680,680,721,415.35,256.1,165
681,681,722,490.75,258.05,215
682,682,725,48.1,248.3,205
683,683,726,298.35,254.8,260
684,684,727,344.5,255.45,195
685,685,728,504.4,262.6,245
686,686,729,192.4,256.1,245
687,687,730,412.1,554.45,260
688,688,732,318.5,265.2,190
689,689,733,469.3,265.85,250
690,690,734,210.6,263.25,225
691,691,735,148.2,263.25,195
692,692,736,356.85,265.2,165
693,693,737,382.2,263.9,180
694,694,738,94.9,267.8,230
695,695,739,500.5,274.3,255
696,696,741,238.55,268.45,240
697,697,742,256.1,274.95,235
698,698,744,59.15,269.75,165
699,699,745,682.5,521.95,270
700,700,746,284.7,507.0,255
701,701,747,500.5,509.6,220
702,702,748,523.25,507.65,155
703,703,749,79.95,514.15,245
704,704,750,257.4,511.55,255
705,705,752,238.55,514.8,255
706,706,753,624.65,514.15,230
707,707,754,542.75,513.5,165
708,708,755,136.5,517.4,205
709,709,756,343.2,513.5,215
710,710,757,669.5,516.1,280
711,711,758,319.8,516.75,270
712,712,759,207.35,520.65,230
713,713,760,397.15,521.3,245
714,714,761,227.5,508.95,245
715,715,762,57.2,517.4,250
716,716,763,301.6,517.4,290
717,717,764,480.35,518.7,205
718,718,765,416.65,520.65,250
