 CellID,cell_x,cell_y,death_time
498,644.326,395.367,320
499,655.613,381.178,320
500,628.847,386.015,330
501,615.303,366.666,340
502,641.424,369.569,360
503,617.56,353.122,370
504,634.007,350.542,400
505,628.524,343.447,410
506,637.877,336.675,430
507,654.001,336.675,430
508,607.885,424.714,390
509,603.693,389.885,410
510,624.01,407.299,440
511,601.758,407.944,440
512,637.554,414.072,360
513,624.655,438.58,430
514,622.075,421.166,630
515,641.101,419.554,570
516,592.729,419.876,470
517,585.634,448.255,580
518,579.184,458.897,580
519,593.051,463.734,650
520,673.995,413.104,1260
521,693.989,448.578,1390
522,653.678,395.69,1400
523,588.536,492.436,750
524,570.155,523.717,570
525,559.19,523.394,570
526,573.702,515.01,570
527,677.435,332.59,690
528,669.48,355.809,950
529,665.825,368.924,1030
