Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
20181227_MCF10A_SKT_xy5.csv,-0.0155038759689923,0.375,MixedColony,MCF10A+TRAIL,MCF10A,skt_5,Apoptosis,160,0.065,90,150
3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath1_sytox_based.csv,0.1585820895522388,0.2286401925391095,MixedColony,MCF10A+3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath1_sytox_based.csv,MCF10A,pure_death_1,Necrosis,831,0.0,90,150
3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath2_sytox_based.csv,0.21496062992125975,0.2071097372488408,MixedColony,MCF10A+3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath2_sytox_based.csv,MCF10A,pure_death_2,Necrosis,647,0.0,90,150
3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath3_sytox_based.csv,-0.060000000000000143,0.21739130434782608,MixedColony,MCF10A+3-11-23_10ah2bmch_ml+zvad_fullmedia_puredeath3_sytox_based.csv,MCF10A,pure_death_3,Necrosis,22,0.086,90,150
field13_crop-001_ROI#1_annotation_apop.csv,0.043519394512772064,0.19831223628691982,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,120,150
field13_crop-001_ROI#1_annotation_nec.csv,0.2868589743589743,0.2524271844660194,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,120,150
Field14-002_ROI#1_annotation_apop.csv,0.17141477547078712,0.18814432989690721,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,120,150
Field14-002_ROI#1_annotation_nec.csv,0.19257950530035334,0.22088353413654618,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,120,150
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,0.07341772151898739,0.1702127659574468,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.004,120,150
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.2743682310469315,0.22535211267605634,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,120,150
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.25143868968570154,0.1693548387096774,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,120,150
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5089514066496164,0.2276657060518732,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,120,150
field13_crop-001_ROI#1_annotation_mixed.csv,0.34423845874227554,0.2032967032967033,MixedColony,MCF10A+field13_crop-001_roi#1_annotation_mixed.csv,MCF10A,field13_colony,mixed,546,0.0,120,150
Field14-002_ROI#1_annotation_mixed.csv,0.33253012048192776,0.18779342723004694,MixedColony,MCF10A+field14-002_roi#1_annotation_mixed.csv,MCF10A,field14_colony,mixed,641,0.0,120,150
7-20-23_10arednuclei_ROI#10_annotation_mixed.csv,0.25022583559168926,0.18518518518518517,MixedColony,MCF10A+7-20-23_10arednuclei_roi#10_annotation_mixed.csv,MCF10A,field11_colony,mixed,200,0.0,120,150
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_mixed.csv,0.604831274202471,0.2,MixedColony,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_mixed.csv,MCF10A,field14_two_colony,mixed,596,0.0,120,150
purecolony3_sytox_based.csv,0.08674698795180713,0.2297979797979798,MixedColony,MCF10A+purecolony3_sytox_based.csv,MCF10A,pure_colony_3,Necrosis,818,0.0,120,150
purecolony_sytox_based.csv,0.23377638780297108,0.21987315010570824,MixedColony,MCF10A+purecolony_sytox_based.csv,MCF10A,pure_colony_1,Necrosis,930,0.0,120,150
purecolony2_sytox_based.csv,0.1458106637649619,0.23055555555555557,MixedColony,MCF10A+purecolony2_sytox_based.csv,MCF10A,pure_colony_2,Necrosis,975,0.0,120,150
mixcolony1.csv,0.28040904198062433,0.20771513353115728,MixedColony,MCF10A+mixcolony1.csv,MCF10A,mix_colony_1,mixed,337,0.0,120,150
mixcolony2_field13.csv,0.36073253833049396,0.19848771266540643,MixedColony,MCF10A+mixcolony2_field13.csv,MCF10A,mix_colony_2,mixed,529,0.0,120,150
mixcolony3.csv,0.12321307011572492,0.16346153846153846,MixedColony,MCF10A+mixcolony3.csv,MCF10A,mix_colony_3,mixed,208,0.0,120,150
20181227_MCF10A_SKT_xy1.csv,0.11111111111111113,0.30303030303030304,MixedColony,MCF10A+TRAIL,MCF10A,skt_1,Apoptosis,165,0.0,120,150
20181227_MCF10A_SKT_xy2.csv,-0.15999999999999995,0.34285714285714286,MixedColony,MCF10A+TRAIL,MCF10A,skt_2,Apoptosis,140,0.466,120,150
