Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,0.0870113493064312,0.1702127659574468,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.003,60,150
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.30713640469738035,0.19718309859154928,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,60,150
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.24913718723037104,0.1532258064516129,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,60,150
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5395348837209302,0.1930835734870317,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,60,150
field13_crop-001_ROI#1_annotation_apop.csv,0.03763066202090585,0.1940928270042194,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,90,150
field13_crop-001_ROI#1_annotation_nec.csv,0.2210796915167095,0.22653721682847897,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,90,150
Field14-002_ROI#1_annotation_apop.csv,0.15210237659963438,0.18087855297157623,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,90,150
Field14-002_ROI#1_annotation_nec.csv,0.1493150684931507,0.20883534136546184,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,90,150
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,0.07909604519774015,0.1702127659574468,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.006,90,150
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.3016528925619834,0.19718309859154928,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,90,150
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.2520404831864186,0.1532258064516129,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,90,150
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5378564405113078,0.21037463976945245,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,90,150
field13_crop-001_ROI#1_annotation_apop.csv,0.041706161137440724,0.19831223628691982,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.003,120,150
field13_crop-001_ROI#1_annotation_nec.csv,0.288,0.2524271844660194,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,120,150
