Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
Field14-002_ROI#1_annotation_nec.csv,0.3034934497816594,0.22088353413654618,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,60,50
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-0.49517684887459784,0.3404255319148936,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.533,60,50
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.35642458100558666,0.22535211267605634,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,60,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.24584566355565673,0.1693548387096774,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,60,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5790200138026226,0.2017291066282421,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,60,50
field13_crop-001_ROI#1_annotation_mixed.csv,0.34482102056359476,0.17582417582417584,MixedColony,MCF10A+field13_crop-001_roi#1_annotation_mixed.csv,MCF10A,field13_colony,mixed,546,0.0,60,50
Field14-002_ROI#1_annotation_mixed.csv,0.3503184713375797,0.17214397496087636,MixedColony,MCF10A+field14-002_roi#1_annotation_mixed.csv,MCF10A,field14_colony,mixed,641,0.0,60,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_mixed.csv,0.6173339613754121,0.17983193277310924,MixedColony,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_mixed.csv,MCF10A,field14_two_colony,mixed,596,0.0,60,50
purecolony3.csv,,,MixedColony,MCF10A+purecolony3.csv,MCF10A,pure_colony_3,Necrosis,818,,60,50
purecolony1.csv,,,MixedColony,MCF10A+purecolony1.csv,MCF10A,pure_colony_1,Necrosis,930,,60,50
purecolony2.csv,,,MixedColony,MCF10A+purecolony2.csv,MCF10A,pure_colony_2,Necrosis,975,,60,50
mixcolony1.csv,0.3588987217305801,0.19584569732937684,MixedColony,MCF10A+mixcolony1.csv,MCF10A,mix_colony_1,mixed,337,0.0,60,50
mixcolony2_field13.csv,0.43797820542545796,0.18714555765595464,MixedColony,MCF10A+mixcolony2_field13.csv,MCF10A,mix_colony_2,mixed,529,0.0,60,50
mixcolony3.csv,0.11511789181692109,0.27403846153846156,MixedColony,MCF10A+mixcolony3.csv,MCF10A,mix_colony_3,mixed,208,0.0,60,50
field13_crop-001_ROI#1_annotation_apop.csv,0.07919123841617519,0.22784810126582278,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,90,50
field13_crop-001_ROI#1_annotation_nec.csv,0.2724719101123596,0.23624595469255663,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,90,50
Field14-002_ROI#1_annotation_apop.csv,0.1566840277777778,0.21649484536082475,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,90,50
Field14-002_ROI#1_annotation_nec.csv,0.281505728314239,0.24899598393574296,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,90,50
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-0.5242718446601943,0.3191489361702128,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.557,90,50
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.35483870967741943,0.23943661971830985,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,90,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.24689226519337013,0.1693548387096774,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,90,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5797546012269938,0.21613832853025935,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,90,50
field13_crop-001_ROI#1_annotation_mixed.csv,0.34378563283922464,0.1978021978021978,MixedColony,MCF10A+field13_crop-001_roi#1_annotation_mixed.csv,MCF10A,field13_colony,mixed,546,0.0,90,50
Field14-002_ROI#1_annotation_mixed.csv,0.34621944286526446,0.18622848200312989,MixedColony,MCF10A+field14-002_roi#1_annotation_mixed.csv,MCF10A,field14_colony,mixed,641,0.0,90,50
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_mixed.csv,0.6167971530249111,0.18487394957983194,MixedColony,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_mixed.csv,MCF10A,field14_two_colony,mixed,596,0.0,90,50
purecolony3.csv,,,MixedColony,MCF10A+purecolony3.csv,MCF10A,pure_colony_3,Necrosis,818,,90,50
purecolony1.csv,,,MixedColony,MCF10A+purecolony1.csv,MCF10A,pure_colony_1,Necrosis,930,,90,50
purecolony2.csv,,,MixedColony,MCF10A+purecolony2.csv,MCF10A,pure_colony_2,Necrosis,975,,90,50
mixcolony1.csv,0.37211585665193914,0.2344213649851632,MixedColony,MCF10A+mixcolony1.csv,MCF10A,mix_colony_1,mixed,337,0.0,90,50
mixcolony2_field13.csv,0.4449810279406692,0.2060491493383743,MixedColony,MCF10A+mixcolony2_field13.csv,MCF10A,mix_colony_2,mixed,529,0.0,90,50
mixcolony3.csv,0.12721584984358708,0.30288461538461536,MixedColony,MCF10A+mixcolony3.csv,MCF10A,mix_colony_3,mixed,208,0.0,90,50
