Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
field13_crop-001_ROI#1_annotation_nec.csv,0.2625786163522012,0.11974110032362459,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,10,100
Field14-002_ROI#1_annotation_apop.csv,0.16231799892147514,0.15206185567010308,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,10,100
Field14-002_ROI#1_annotation_nec.csv,0.20323510570147332,0.13654618473895583,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,10,100
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,0.03438596491228065,0.1702127659574468,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.027,10,100
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.32302300777083653,0.14788732394366197,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,10,100
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.2448588486769366,0.14112903225806453,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,10,100
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5464724426568105,0.0893371757925072,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,10,100
field13_crop-001_ROI#1_annotation_apop.csv,0.0596308566019877,0.1729957805907173,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.001,30,100
field13_crop-001_ROI#1_annotation_nec.csv,0.25770547945205474,0.16828478964401294,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,30,100
Field14-002_ROI#1_annotation_apop.csv,0.16152314584370334,0.15721649484536082,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,30,100
Field14-002_ROI#1_annotation_nec.csv,0.19730510105871027,0.15261044176706828,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,30,100
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,0.022695035460992927,0.19148936170212766,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.037,30,100
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.3240146654445463,0.16901408450704225,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,30,100
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.2472521372266016,0.14516129032258066,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,30,100
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5498046875,0.1440922190201729,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,30,100
field13_crop-001_ROI#1_annotation_apop.csv,0.054054054054053995,0.17721518987341772,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,60,100
field13_crop-001_ROI#1_annotation_nec.csv,0.24218750000000003,0.19741100323624594,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,60,100
Field14-002_ROI#1_annotation_apop.csv,0.15934065934065936,0.16494845360824742,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,60,100
Field14-002_ROI#1_annotation_nec.csv,0.19526066350710905,0.18875502008032127,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,60,100
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,0.033472803347280436,0.19148936170212766,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.032,60,100
7-20-23_10arednuclei_ROI#10_annotation_nec.csv,0.3118675252989881,0.20422535211267606,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_nec.csv,MCF10A,field11_colony,Necrosis,142,0.0,60,100
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_apop.csv,0.24506362439666518,0.16129032258064516,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_apop.csv,MCF10A,field14_two_colony,Apoptosis,248,0.0,60,100
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_nec.csv,0.5502008032128514,0.1930835734870317,NecrosisInColonies,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_nec.csv,MCF10A,field14_two_colony,Necrosis,348,0.0,60,100
field13_crop-001_ROI#1_annotation_apop.csv,0.047788873038516366,0.19831223628691982,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.003,90,100
field13_crop-001_ROI#1_annotation_nec.csv,0.22526041666666674,0.22653721682847897,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,90,100
Field14-002_ROI#1_annotation_apop.csv,0.15044910179640716,0.18041237113402062,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,90,100
Field14-002_ROI#1_annotation_nec.csv,0.1734837799717912,0.21686746987951808,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,90,100
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,0.006355932203389879,0.19148936170212766,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.044,90,100
